Date,Time,Dry_Bulb _C_22
1/2/2020,16:00:00,4.201464844
1/2/2020,20:00:00,4.115664063
1/3/2020,0:00:00,4.158564453
1/3/2020,4:00:00,4.158564453
1/3/2020,8:00:00,4.201464844
1/3/2020,12:00:00,3.9440625
1/3/2020,16:00:00,3.986962891
1/3/2020,20:00:00,4.029863281
1/4/2020,0:00:00,3.986962891
1/4/2020,4:00:00,4.029863281
1/4/2020,8:00:00,3.9440625
1/4/2020,12:00:00,3.9440625
1/4/2020,16:00:00,3.986962891
1/4/2020,20:00:00,3.901162109
1/5/2020,0:00:00,3.986962891
1/5/2020,4:00:00,3.858261719
1/5/2020,8:00:00,3.901162109
1/5/2020,12:00:00,3.815361328
1/5/2020,16:00:00,3.815361328
1/5/2020,20:00:00,3.901162109
1/6/2020,0:00:00,3.901162109
1/6/2020,4:00:00,3.858261719
1/6/2020,8:00:00,3.858261719
1/6/2020,12:00:00,3.858261719
1/6/2020,16:00:00,3.729560547
1/6/2020,20:00:00,3.729560547
1/7/2020,0:00:00,3.815361328
1/7/2020,4:00:00,3.686660156
1/7/2020,8:00:00,3.686660156
1/7/2020,12:00:00,3.729560547
1/7/2020,16:00:00,3.772460938
1/7/2020,20:00:00,3.729560547
1/8/2020,0:00:00,3.515058594
1/8/2020,4:00:00,3.429257813
1/8/2020,8:00:00,3.300556641
1/8/2020,12:00:00,3.25765625
1/8/2020,16:00:00,3.25765625
1/8/2020,20:00:00,3.214755859
1/9/2020,0:00:00,3.214755859
1/9/2020,4:00:00,3.171855469
1/9/2020,8:00:00,3.171855469
1/9/2020,12:00:00,3.128955078
1/9/2020,16:00:00,3.128955078
1/9/2020,20:00:00,3.25765625
1/10/2020,0:00:00,3.429257813
1/10/2020,4:00:00,3.472158203
1/10/2020,8:00:00,3.472158203
1/10/2020,12:00:00,3.472158203
1/10/2020,16:00:00,3.472158203
1/10/2020,20:00:00,3.429257813
1/11/2020,0:00:00,3.515058594
1/11/2020,4:00:00,3.472158203
1/11/2020,8:00:00,3.300556641
1/11/2020,12:00:00,3.214755859
1/11/2020,16:00:00,3.214755859
1/11/2020,20:00:00,3.25765625
1/12/2020,0:00:00,3.214755859
1/12/2020,4:00:00,3.214755859
1/12/2020,8:00:00,3.214755859
1/12/2020,12:00:00,3.214755859
1/12/2020,16:00:00,3.171855469
1/12/2020,20:00:00,3.25765625
1/13/2020,0:00:00,3.214755859
1/13/2020,4:00:00,3.214755859
1/13/2020,8:00:00,3.171855469
1/13/2020,12:00:00,3.171855469
1/13/2020,16:00:00,3.171855469
1/13/2020,20:00:00,3.171855469
1/14/2020,0:00:00,3.214755859
1/14/2020,4:00:00,3.214755859
1/14/2020,8:00:00,3.171855469
1/14/2020,12:00:00,3.171855469
1/14/2020,16:00:00,3.214755859
1/14/2020,20:00:00,3.300556641
1/15/2020,0:00:00,3.25765625
1/15/2020,4:00:00,3.214755859
1/15/2020,8:00:00,3.214755859
1/15/2020,12:00:00,3.25765625
1/15/2020,16:00:00,3.25765625
1/15/2020,20:00:00,3.25765625
1/16/2020,0:00:00,3.25765625
1/16/2020,4:00:00,3.25765625
1/16/2020,8:00:00,3.25765625
1/16/2020,12:00:00,3.171855469
1/16/2020,16:00:00,3.086054688
1/16/2020,20:00:00,3.043154297
1/17/2020,0:00:00,2.957353516
1/17/2020,4:00:00,2.957353516
1/17/2020,8:00:00,3.000253906
1/17/2020,12:00:00,2.914453125
1/17/2020,16:00:00,2.914453125
1/17/2020,20:00:00,2.871552734
1/18/2020,0:00:00,2.871552734
1/18/2020,4:00:00,2.871552734
1/18/2020,8:00:00,2.828652344
1/18/2020,12:00:00,2.828652344
1/18/2020,16:00:00,2.914453125
1/18/2020,20:00:00,2.914453125
1/19/2020,0:00:00,2.957353516
1/19/2020,4:00:00,2.871552734
1/19/2020,8:00:00,2.871552734
1/19/2020,12:00:00,2.742851563
1/19/2020,16:00:00,2.657050781
1/19/2020,20:00:00,2.657050781
1/20/2020,0:00:00,2.614150391
1/20/2020,4:00:00,2.57125
1/20/2020,8:00:00,2.657050781
1/20/2020,12:00:00,2.614150391
1/20/2020,16:00:00,2.614150391
1/20/2020,20:00:00,2.614150391
1/21/2020,0:00:00,2.614150391
1/21/2020,4:00:00,2.57125
1/21/2020,8:00:00,2.528349609
1/21/2020,12:00:00,2.442548828
1/21/2020,16:00:00,2.57125
1/21/2020,20:00:00,2.528349609
1/22/2020,0:00:00,2.485449219
1/22/2020,4:00:00,2.442548828
1/22/2020,8:00:00,2.57125
1/22/2020,12:00:00,2.57125
1/22/2020,16:00:00,2.657050781
1/22/2020,20:00:00,2.614150391
1/23/2020,0:00:00,2.614150391
1/23/2020,4:00:00,2.57125
1/23/2020,8:00:00,2.657050781
1/23/2020,12:00:00,2.657050781
1/23/2020,16:00:00,2.699951172
1/23/2020,20:00:00,2.699951172
1/24/2020,0:00:00,2.785751953
1/24/2020,4:00:00,2.742851563
1/24/2020,8:00:00,2.828652344
1/24/2020,12:00:00,2.871552734
1/24/2020,16:00:00,2.871552734
1/24/2020,20:00:00,2.914453125
1/25/2020,0:00:00,2.871552734
1/25/2020,4:00:00,2.871552734
1/25/2020,8:00:00,2.828652344
1/25/2020,12:00:00,2.871552734
1/25/2020,16:00:00,2.914453125
1/25/2020,20:00:00,2.871552734
1/26/2020,0:00:00,2.957353516
1/26/2020,4:00:00,3.043154297
1/26/2020,8:00:00,3.000253906
1/26/2020,12:00:00,3.000253906
1/26/2020,16:00:00,3.043154297
1/26/2020,20:00:00,3.000253906
1/27/2020,0:00:00,3.000253906
1/27/2020,4:00:00,3.000253906
1/27/2020,8:00:00,3.043154297
1/27/2020,12:00:00,3.043154297
1/27/2020,16:00:00,3.000253906
1/27/2020,20:00:00,3.043154297
1/28/2020,0:00:00,3.043154297
1/28/2020,4:00:00,3.000253906
1/28/2020,8:00:00,2.957353516
1/28/2020,12:00:00,3.000253906
1/28/2020,16:00:00,2.957353516
1/28/2020,20:00:00,2.957353516
1/29/2020,0:00:00,2.914453125
1/29/2020,4:00:00,2.914453125
1/29/2020,8:00:00,2.914453125
1/29/2020,12:00:00,2.914453125
1/29/2020,16:00:00,2.914453125
1/29/2020,20:00:00,2.914453125
1/30/2020,0:00:00,2.914453125
1/30/2020,4:00:00,2.871552734
1/30/2020,8:00:00,2.914453125
1/30/2020,12:00:00,2.871552734
1/30/2020,16:00:00,2.914453125
1/30/2020,20:00:00,2.914453125
1/31/2020,0:00:00,2.871552734
1/31/2020,4:00:00,2.871552734
1/31/2020,8:00:00,2.871552734
1/31/2020,12:00:00,2.828652344
1/31/2020,16:00:00,2.914453125
